ID,Team,Status,Roles,HaveSettings,Hero,TwitchStream
Highbee,Los Angeles Valiant,Active,Support,FALSE,D.Va,
HOTBA,Philadelphia Fusion,Active,Tank,TRUE,D.Va,https://www.twitch.tv/hotba_ow
Hybrid,London Spitfire,Active,Damage,TRUE,Widowmaker,https://www.twitch.tv/hybrid__ow
Hydration,Houston Outlaws,Active,Tank,TRUE,Doomfist,https://www.twitch.tv/hydration
iDK,Hangzhou Spark,Active,Support,TRUE,Lúcio,https://www.twitch.tv/qkrghwls0426
im37,Boston Uprising,Active,Damage,TRUE,McCree,https://www.twitch.tv/im37_ow
Ir1s,Atlanta Reign,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/ir1s_ow
Ivy,New York Excelsior,Active,Damage,TRUE,Genji,https://www.twitch.tv/owivy3
IZaYaKI,Shanghai Dragons,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/izayaki_ow
JAKE,Houston Outlaws,Active,Damage,TRUE,Junkrat,https://www.twitch.tv/jake_ow
Jecse,Dallas Fuel,Active,Support,TRUE,Lúcio,https://www.twitch.tv/ssl6693
Jerry,Washington Justice,Active,Damage,TRUE,McCree,https://www.twitch.tv/jerry__ow
Jihun,Guangzhou Charge,Active,Tank,TRUE,Reinhardt,https://www.twitch.tv/jihun_ow
Jimmy,Chengdu Hunters,Active,Damage,FALSE,Ashe,
JinMu,Chengdu Hunters,Active,Damage,TRUE,Genji,
JJANGGU,Houston Outlaws,Active,Damage,TRUE,Orisa,https://www.twitch.tv/jjanggu_1
JJoNak,New York Excelsior,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/jjonaklove
Joobi,Houston Outlaws,Active,Support,TRUE,Lúcio,https://www.twitch.tv/joobi
Kaan,Paris Eternal,Active,Support,FALSE,Baptiste,
Kai,Atlanta Reign,Active,Damage,TRUE,Ashe,https://www.twitch.tv/yung__kai
Kaneki,Chengdu Hunters,Active,Damage,TRUE,Pharah,
KariV,Guangzhou Charge,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/kariv2
Kellex,London Spitfire,Active,Support,TRUE,Lúcio,https://www.twitch.tv/kellex
kevster,Los Angeles Gladiators,Active,Damage,TRUE,Tracer,https://www.twitch.tv/kevster_ow
Krystal,Los Angeles Valiant,Active,Damage,TRUE,Genji,
KSF,Houston Outlaws,Active,Damage,TRUE,Hanzo,https://www.twitch.tv/ksf_ow
Lastro,Toronto Defiant,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/lastro_ow
LateYoung,Chengdu Hunters,Active,Tank,TRUE,Zarya,
leave,Chengdu Hunters,Active,Damage,TRUE,Tracer,
LeeJaeGon,Shanghai Dragons,Active,Support,TRUE,Lúcio,https://www.twitch.tv/leejaegon
LiGe,Hangzhou Spark,Active,Tank,FALSE,Sigma,
LiNkzr,Vancouver Titans,Active,Damage,TRUE,Widowmaker,https://www.twitch.tv/linkzr
LIP,Shanghai Dragons,Active,Damage,TRUE,Sombra,https://www.twitch.tv/owl_lip
Logix,Toronto Defiant,Active,Damage,TRUE,Tracer,https://www.twitch.tv/logixow
M1ka,Hangzhou Spark,Active,Support,FALSE,Mercy,
Mag,Washington Justice,Active,Tank,TRUE,Reinhardt,https://www.twitch.tv/dnlsem12
Mandu,Guangzhou Charge,Active,Support,TRUE,Lúcio,https://www.twitch.tv/mandu_ow
Mano,Philadelphia Fusion,Active,Tank,TRUE,Winston,https://www.twitch.tv/manoowl
Marve1,Seoul Dynasty,Active,Tank,TRUE,Sigma,https://www.twitch.tv/marve1026
Masaa,Atlanta Reign,Active,Support,TRUE,Lúcio,https://www.twitch.tv/masaa_ow
MCD,Hangzhou Spark,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/mcd_ow
Michelle,Toronto Defiant,Active,Tank,TRUE,D.Va,https://www.twitch.tv/michelle_ow
MirroR,Los Angeles Gladiators,Active,Damage,TRUE,Doomfist,https://www.twitch.tv/owMirroR
Mmonk,Chengdu Hunters,Active,Support,FALSE,Ana,
MoLanran,Los Angeles Valiant,Active,Damage,FALSE,Pharah,
Molf1g,London Spitfire,Active,Tank,TRUE,D.Va,https://www.twitch.tv/molf1g
Molly,Shanghai Dragons,Active,Support,TRUE,Zenyatta,
moth,Los Angeles Gladiators,Active,Support,TRUE,Lúcio,https://www.twitch.tv/moth_ow
MuZe,Los Angeles Gladiators,Active,Tank,TRUE,Winston,https://www.twitch.tv/ow_muze
MYKaylee,Guangzhou Charge,Active,Damage,FALSE,Ashe,
Myunb0ng,Boston Uprising,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/myunbong_ow
Na1st,Toronto Defiant,Active,Damage,TRUE,Genji,https://www.twitch.tv/na1stt
Naga,Paris Eternal,Active,Damage,TRUE,Genji,https://www.twitch.tv/NagaOW
nero,San Francisco Shock,Active,Damage,TRUE,Pharah,https://www.twitch.tv/nero_overwatch
Nisha,Chengdu Hunters,Active,Support,FALSE,Mercy,
NvM,Los Angeles Valiant,Active,Tank,FALSE,Winston,
OGE,Florida Mayhem,Active,Tank,TRUE,Winston,https://www.twitch.tv/oge_ow
Onigod,Paris Eternal,Active,Damage,TRUE,Tracer,https://www.twitch.tv/onigod
Pelican,Atlanta Reign,Active,Damage,TRUE,Echo,https://www.twitch.tv/ow_pelican
PIGGY,Houston Outlaws,Active,Tank,FALSE,Zarya,https://www.twitch.tv/p1ggy_ow
Pine,Dallas Fuel,Active,Damage,TRUE,McCree,https://www.twitch.tv/tf2pine
Poko,Philadelphia Fusion,Active,Tank,TRUE,D.Va,https://www.twitch.tv/poko
Profit,Seoul Dynasty,Active,Damage,TRUE,Tracer,https://www.twitch.tv/profitow
Punk,Boston Uprising,Active,Tank,TRUE,Sigma,https://www.twitch.tv/punk_au
Rapel,Dallas Fuel,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/kingjungeun
Rascal,Philadelphia Fusion,Active,Damage,TRUE,Genji,https://www.twitch.tv/rascal0723
Rio,Guangzhou Charge,Active,Tank,FALSE,Winston,https://www.twitch.tv/osp0418
Ripa,London Spitfire,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/ripatv
Roolf,Vancouver Titans,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/roolfow
SADO,Toronto Defiant,Active,Tank,FALSE,Winston,https://www.twitch.tv/sado_ow
Saebyeolbe,Seoul Dynasty,Active,Damage,TRUE,Tracer,https://www.twitch.tv/saebyeolbe
SeoMinSoo,Hangzhou Spark,Active,Tank,TRUE,Reaper,https://www.twitch.tv/seominsoo_ow
Shax,London Spitfire,Active,Damage,TRUE,Tracer,https://www.twitch.tv/shaxow_
sHockWave,Philadelphia Fusion,Active,Damage,TRUE,Widowmaker,https://www.twitch.tv/shockwaveyy
ShowCheng,Los Angeles Valiant,Active,Damage,FALSE,Genji,
Shu,Los Angeles Gladiators,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/owl_shu
Shy,Hangzhou Spark,Active,Damage,TRUE,Widowmaker,
Silver3,Los Angeles Valiant,Active,Tank,FALSE,Reinhardt,
skewed,Los Angeles Gladiators,Active,Support,TRUE,Zenyatta,https://www.twitch.tv/ow_skewed
SLIME,Florida Mayhem,Active,Support,TRUE,Lúcio,https://www.twitch.tv/slime
smurf,San Francisco Shock,Active,Tank,TRUE,Winston,https://www.twitch.tv/smurf5
SP9RK1E,Dallas Fuel,Active,Damage,TRUE,Doomfist,https://www.twitch.tv/sp9rk1e
SPACE,Los Angeles Gladiators,Active,Tank,TRUE,D.Va,https://www.twitch.tv/space
SparkR,London Spitfire,Active,Damage,TRUE,Widowmaker,https://www.twitch.tv/sparkr_
Stand1,Boston Uprising,Active,Tank,TRUE,Reinhardt,https://www.twitch.tv/stand1_ow
Striker,San Francisco Shock,Active,Damage,TRUE,Tracer,https://www.twitch.tv/owstriker
super,San Francisco Shock,Active,Tank,TRUE,Reinhardt,https://www.twitch.tv/supertf
ta1yo,San Francisco Shock,Active,Damage,TRUE,Tracer,https://www.twitch.tv/ta1yo_tv
Takoyaki,Hangzhou Spark,Active,Tank,FALSE,Reinhardt,https://www.twitch.tv/takoyaki978
Teru,Vancouver Titans,Active,Damage,TRUE,Genji,https://www.twitch.tv/teru1215
tobi,Philadelphia Fusion,Active,Support,TRUE,Lúcio,https://www.twitch.tv/ow_tobi
